ExecutableID: 6251995937, SubmitTime: 7581479163, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 58,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251699911, SubmitTime: 7581479803, , , Latency to next edge for ExecutableID 6251699911: 0,Number of cache hits: 59,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7582205370, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 60,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7583742492, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 61,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7583742677, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 62,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7584912207, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 63,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7584912402, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 64,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7585908124, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 65,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7585908246, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 66,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7585908610, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 67,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7586657318, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 68,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251699911, SubmitTime: 7586657527, , , Latency to next edge for ExecutableID 6251699911: 0,Number of cache hits: 69,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7586657781, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 70,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7586658118, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 71,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7586658361, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 72,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7586658589, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 73,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7586658838, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 74,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7587479373, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 75,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7587479642, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 76,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7587479706, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 77,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7587479772, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 78,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7587479838, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 79,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7588417535, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 80,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
ExecutableID: 6251995937, SubmitTime: 7588418239, , , Latency to next edge for ExecutableID 6251995937: 0,Number of cache hits: 81,Total Latency: 2312.9830544725332,delayed_hit: 0,forward_counter: 16,skipped_counter: 0, cost: 0.0,cost_counter: 42940.546154496005, ,  
